name,source,is_used,used_by_rabbit_id,status
A (Deuxième Raikage),Naruto,false,,available
A (Premier Raikage),Naruto,false,,available
A (Quatrième Raikage),Naruto,false,,available
A (Troisième Raikage),Naruto,false,,available
Abiru,Naruto,false,,available
Ao,Naruto,false,,available
Ajisaï,Naruto,false,,available
Akaboshi,Naruto,false,,available
Akamaru,Naruto,false,,available
Akatsuchi,Naruto,false,,available
Amaï,Naruto,false,,available
Amachi,Naruto,false,,available
Amaru,Naruto,false,,available
Ame,Naruto,false,,available
Ameno,Naruto,false,,available
Ameyuri Ringo,Naruto,false,,available
Ami,Naruto,false,,available
Ancien des Hyûga,Naruto,false,,available
Anko Mitarashi,Naruto,false,,available
Aoba Yamashiro,Naruto,false,,available
Aoi Rokushô,Naruto,false,,available
Arashi,Naruto,false,,available
Ashina Uzumaki,Naruto,false,,available
Asuma Sarutobi,Naruto,false,,available
Asura,Naruto,false,,available
Atsui,Naruto,false,,available
Ayame,Naruto,false,,available
Baiu,Naruto,false,,available
Baki,Naruto,false,,available
Banna,Naruto,false,,available
Baru Uchiwa,Naruto,false,,available
Bekkô,Naruto,false,,available
Benten,Naruto,false,,available
Biwako Sarutobi,Naruto,false,,available
Blue B,Naruto,false,,available
Boruto Uzumaki,Naruto,false,,available
Buna,Naruto,false,,available
Bunpuku,Naruto,false,,available
Burami,Naruto,false,,available
Butsuma Senju,Naruto,false,,available
Capitaine des Assassins de Suna,Naruto,false,,available
Capitaine des ninjas du ciel,Naruto,false,,available
Capitaine du vaisseau fantôme,Naruto,false,,available
Chef des Tsuchigumo,Naruto,false,,available
Chef du Clan Kaguya,Naruto,false,,available
Chen,Naruto,false,,available
Chen (étudiant),Naruto,false,,available
Chikushôdô (Premier),Naruto,false,,available
Chiriku,Naruto,false,,available
Chiyo,Naruto,false,,available
Chogo,Naruto,false,,available
Chôji Akimichi,Naruto,false,,available
Chôza Akimichi,Naruto,false,,available
Chôchô Akimichi,Naruto,false,,available
Chôjûrô,Naruto,false,,available
Chômei,Naruto,false,,available
Chûkaku,Naruto,false,,available
Chûkichi,Naruto,false,,available
Chûshin,Naruto,false,,available
Commandant de l'Anbu,Naruto,false,,available
Daï Maito,Naruto,false,,available
Daibutsu,Naruto,false,,available
Daichi,Naruto,false,,available
Daikoku Funeno,Naruto,false,,available
Daimaru,Naruto,false,,available
Dajimu,Naruto,false,,available
Dan Katô,Naruto,false,,available
Dango,Naruto,false,,available
Darui,Naruto,false,,available
Danzô Shimura,Naruto,false,,available
Deidara,Naruto,false,,available
Dôtô Akimichi,Naruto,false,,available
Dodaï,Naruto,false,,available
Doki,Naruto,false,,available
Dosu Kinuta,Naruto,false,,available
Dotô Kazahana,Naruto,false,,available
En,Naruto,false,,available
